abbreviation,smiles,LFS_metric,Spectrochemical
NO₃⁻,[N+](=O)([O-])[O-],0.948,Weak
H₂O,O,0.943, Weak
MeCN,CC#N,0.484,Intermediate
Py,c1ccncc1,0.639,Intermediate
CO,C#[O+],0.202,Strong
PPh₃,C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0.029,Strong
CN⁻,C#N,0.0,Strong
,C1=CN=CN=C1,0.875,
,C1CCOC1,0.7139999866485596,
,CP(C1=CC=CC=C1)C1=CC=CC=C1,0.0,
,NC(=O)C1=CC=NC=C1,0.6669999957084656,
,CC1=CN([BH2-]N2C=C(C)C=N2)N=C1,1.0,
,C1=CC=C(CN(CC2=CC=CC=C2)C2=NC(N(C3=CC=CC=N3)C3=CC=CC=N3)=NC(N(CC3=CC=CC=C3)CC3=CC=CC=C3)=N2)C=C1,0.25,
,CCCCCCCCCC(=O)N(C1=CC=CC=N1)C1=CC=CC=N1,0.3330000042915344,
,[CH2]C,0.3849999904632568,
,COC1=CC=CC(C=NCCCN=CC2=CC=CC(OC)=C2O)=C1O,0.6000000238418579,
,OC1=CC=C(N(=O)=O)C=C1C=NCCNCCNCCN=CC1=CC(N(=O)=O)=CC=C1O,0.5809999704360962,
,CC1=CC=CC(O)=N1,0.9089999794960022,
,C(#CC1=CC=C(N=CC2=CC=CC=N2)C=C1)C1=CC=CC=C1,0.6669999957084656,
,C1=CC=C(CC2=CC=NC=C2)C=C1,1.0,
,CC1=CN=C(C(O)=O)C=N1,1.0,
,C1=CC=C(NC2=CC=CC=N2)N=C1,1.0,
,C1=CN(CC2=CC=CC=C2)C=N1,0.7369999885559082,
,OC(=O)C1=CC=C[NH+]=C1[O-],1.0,
,C1=CC=C(CN(CC2=CC=CC=N2)CC2=CC=CC=N2)N=C1,0.5809999704360962,
,CCC1=C2C=CC(=N2)C(CC)(CC)C2=CC=C(N2)C(CC)=C2C=CC(=N2)C(CC)(CC)C2=CC=C1N2,0.3330000042915344,
,NN1C(C2=CC=CC=N2)=NN=C1C1=CC=CC=N1,0.6230000257492065,
,CC(O)=CC(C)=NCCN=C(C)C=C(C)O,0.5,
,CC1(C)N(O)C(C2=CNC=N2)=[N+]([O-])C1(C)C,1.0,
,OC1=C(N(=O)=O)C=C(N(=O)=O)C=C1N(=O)=O,1.0,
,OO,0.4000000059604645,
,OC(=O)C1=CC=CC=N1,0.6000000238418579,
,OC(=O)C1=C(C(=O)O)NC(C2=CC=CN=C2)=N1,1.0,
,COC1=CC=CC2=CC=CN=C12,1.0,
,CN1C=CN(C2=CC=CC=N2)C1=S,0.800000011920929,
,COC1=CC=CC(OC)=C1C(O)=O,1.0,
,CC(=NCCN=C(C)C1=CC=CC=C1O)C1=CC=CC=C1O,0.5,
,O=C(NC(=O)C1=CN=CC=N1)C1=CN=CC=N1,0.625,
,NCCCNCCN,0.125,
,[CH2]CC#N,0.3330000042915344,
,C1=CC=C(CCN(CC2=CC=CC=N2)CC2=CC=CC=N2)N=C1,0.7139999866485596,
,C1=CC=C(CSCCSCC2=CC=CC=N2)N=C1,0.777999997138977,
,C1=CC=C(C2=CC=CC(C3=CC=CC=N3)=N2)N=C1,0.3330000042915344,
,CCN(CC)C1=NC(N(CC)CC)=NC(N(C2=CC=CC=N2)C2=CC=CC=N2)=N1,0.3330000042915344,
,NC1=CC=C(C(O)=O)C=C1,1.0,
,FC1=C(F)C(F)=C(C(C2=CC=CN2)=C2C=CC=N2)C(F)=C1F,0.0,
,C1=CC(C2=CC=NC=C2)=CC=N1,0.9470000267028807,
,CC1=CC=C(C2=CC=C(C)C=N2)N=C1,0.8330000042915344,
,C=CC1=CC=NC=C1,1.0,
,C1=NC=NN1C1=CC=CC=C1,1.0,
,C1=CNC(C(C2=CC=CS2)=C2C=CC=N2)=C1,0.0,
,CC1=CC=C(S(=O)(=O)NC2=CC=CC=N2)C=C1,1.0,
,[O-]N=CC1=CC=CC=N1,0.0,
,OC1=CC=CC=C1C=NCC1=CC=CC=C1,0.25,
,CC1=CC=C(O)C(C2=NCCO2)=C1,0.5,
,CC1=CC=C(NC(=O)C2=CC=CC=N2)C=C1,1.0,
,N#CCC(=O)NCC1=CC=CN=C1,1.0,
,OC1=CC=C(F)C=C1C=NC1=CC=CC2=CC=CN=C12,0.6669999957084656,
,O=C1C2=CC=CN=C2C2=NC=CC=C12,0.875,
,OC(=NN=CC1=CC=CC=N1)C1=CC=CC=C1,1.0,
,CC(C)P(OC1=NC(OP(C(C)C)C(C)C)=CC=C1)C(C)C,0.0,
,CC1(C)N=C(C2=CC=NC=C2)N(O)C1(C)C,1.0,
,CN(CCN(C)CC1=CC=CC=N1)CC1=CC=CC=N1,0.8999999761581421,
,OC1=CC=CC=C1C1=NCCO1,0.5,
,COC1=CC=C(N2C=C(C3=CC=CC=N3)N=N2)C=C1,1.0,
,CO,0.8569999933242798,
,CC(=NCCN(C)C)C1=CC=CC=C1O,0.3330000042915344,
,OC(=O)C1=CC=C(N(=O)=O)C=C1,0.875,
,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,0.6919999718666077,
,C1=CNC(C=NCCN(CCN=CC2=CC=CN2)CCN=CC2=CC=CN2)=C1,0.0,
,CC1(C)C2=CC=CC=C2N(CCOC(=O)C2=CC=NC=C2)C12C=CC1=CC(N(=O)=O)=CC=C1O2,0.4000000059604645,
,O=C1NC(=O)C(C2=CC=CC=C2)(C2=CC=CC=C2)N1,0.6669999957084656,
,C1=CC=NC=C1,0.6389999985694885,
,CCC1=CC=NC=C1,0.8330000042915344,
,CC1=CC(C)=NN1,0.7649999856948853,
,C1=CC=C(CNCCNCC2=CC=CC=N2)N=C1,0.75,
,OC1=CC=CC=C1C=NCCCN=CC1=CC=CC=C1O,0.5,
,CC1=NN(C2=CN=CC(N3C=CC(C)=N3)=N2)C=C1,1.0,
,OC1=CC=CC=C1C=NCC1=CC=CO1,0.0,
,NN,0.8330000042915344,
,BrC1=CN=CC(Br)=C1Br,1.0,
,CN1C=CN=C1C(=O)C1=NC=CN1C,0.625,
,C1C2CC3CC1CC(C2)C3,0.3330000042915344,
,CC1=CC=NC=C1C,0.4000000059604645,
,CC1=CC=C2C=CC=C(O)C2=N1,1.0,
,OC(=CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0.4709999859333038,
,C1=CC=C(C2=NC(C3=CC=C(C4=CC=NC=C4)C=C3)=NN2)N=C1,1.0,
,N=O,0.4830000102519989,
,C1=CC=C(C2=NN=C(C3=CC=CC=N3)S2)N=C1,0.8330000042915344,
,CC1=CC=C2C=CC3=CC=C(C)N=C3C2=N1,1.0,
,CCN(CC)C1=NC(Cl)=NC(N(C2=CC=CC=N2)C2=CC=CC=N2)=N1,0.6669999957084656,
,OC1=CC=CC=C1C=NC1=CC=CC=C1N=CC1=CC=CC=C1O,0.5,
,NC(=O)C1=CC=CN=C1,0.9120000004768372,
,OC1=C2C=CC=CC2=C2C=CC=CC2=C1N=NC1=CC=CC=N1,0.4000000059604645,
,OC1=CC=CC=C1C=NC1CC1,0.0,
,CC(C)N=CC1=CC=CC=N1,0.0,
,C1=CC=C(CNCC2=CC=CC=N2)N=C1,0.6000000238418579,
,C1=CC=CC=C1C=NC1=CC=CC2=CC=CC=C12,0.2000000029802322,
,CC(C)(C)C1=CC(N=NC2=CC=CC=N2)=C(O)C(C(C)(C)C)=C1,0.1669999957084655,
,OC(=O)C1=C(C(=O)O)NC=N1,1.0,
,OC1=CC=CC=C1C=NCCCNCCCN=CC1=CC=CC=C1O,0.6669999957084656,
,CN(CCCN=CC1=CC=CC=C1O)CCCN=CC1=CC=CC=C1O,0.6000000238418579,
,CC(C)(C)C1=CC=C(C(C)(C)C)C(=O)C1O,0.2220000028610229,
,COC1=CC=NC=C1,0.8330000042915344,
,CCCN(CCC)C1=NC(N(CCC)CCC)=NC(N(C2=CC=CC=N2)C2=CC=CC=N2)=N1,0.6669999957084656,
,C1=CNC=N1,0.8730000257492065,
,OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,0.6669999957084656,
,N#N,0.0,
,CC1=CC=C(N=C(C2=CC=CC=C2)C2=CC=CC=N2)C=C1,0.3330000042915344,
,OC(=O)C1=CC=CC=C1,1.0,
,OC1=CC=C(N(=O)=O)C=C1CN(CC1=CC=CC=N1)CC1=CC=CC=N1,0.6000000238418579,
,[O-]N=CC=NO,0.4230000078678131,
,C1CN=C(C2=NCCCS2)SC1,0.3330000042915344,
,CN1N=NC2=CC=CC=C21,1.0,
,CCCC(=O)N(C1=CC=CC=N1)C1=CC=CC=N1,0.6669999957084656,
,C(=NN1C(C2=CC=CC=N2)=NN=C1C1=CC=CC=N1)C1=CC=CC2=CC=CC=C12,0.800000011920929,
,OC(=NN=C(C1=CC=CC=C1)C1=CC=CC=N1)C1=CC=CC=C1,0.5,
,N#CC1=CC=CN=C1,1.0,
,C1=CNN=C1,0.9290000200271606,
,OC(=O)C1=CC=C(F)C=C1,1.0,
,COC1=CC=C(C=NCCN=CC2=CC=C(OC)C=C2O)C(O)=C1,0.4000000059604645,
,CCOC1=CC=CC(C=NCCN=CC2=CC=CC(OCC)=C2O)=C1O,0.5,
,CC(=NO)C(=N[O-])C1=CC=CC=C1,0.3330000042915344,
,BrC1=CC=C(CNCCNCC2=CC=C(Br)C=N2)N=C1,0.6000000238418579,
,OC(=O)C1=CC=CC=C1O,1.0,
,OC1=CC=C(Cl)C=C1C=NCC1=CC=CO1,0.0,
,CC(=NO)C1=CC=CC=N1,1.0,
,CC(=O)C1=CC=NC=C1,0.9330000281333924,
,C1=CC2=C3NC(=C2C=C1)N=C1N=C(N=C2NC(=NC4=NC(=N3)C3=CC=CC=C43)C3=CC=CC=C23)C2=CC=CC=C12,0.0,
,C1=CC=C(C2=CC=NC=C2)C=C1,0.3330000042915344,
,CC1=CC=C(C(O)=O)C=C1,1.0,
,CCOC(=O)C1=CC=CN=C1,0.800000011920929,
,CC1=CC=C2C(Cl)=CC(Cl)=C(O)C2=N1,1.0,
,OC(=O)C1=CC=CC=C1Cl,1.0,
,ON(=O)=O,0.9480000138282776,
,OC(=O)C1=CC=C(C(=O)O)C=N1,1.0,
,OC1=CC=CC2=CC=CN=C12,0.7860000133514404,
,COC1=CC=CC(C=NCCN=CC2=CC=CC(OC)=C2O)=C1O,0.5,
,CCCC(=NN=C(O)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC=CC=N1,0.3330000042915344,
,OC1=CC=C(Cl)C=C1C=NCCN=CC1=CC(Cl)=CC=C1O,0.4000000059604645,
,CP(C)C1=CC=CC=C1,0.0529999993741512,
,C1=CC=C(N=C2NC(=NC3=CC=CC=N3)C3=CC=CC=C23)N=C1,0.5,
,[CH2]CCC,0.4289999902248382,
,CC(C)C1=CC(C(C)C)=NN1,0.8330000042915344,
,C1=CC=NN=C1,1.0,
,OCC1=CC=CN=C1,1.0,
,N#CC1=CC=C(C(O)=O)C=C1,1.0,
,C(=NC1=CC=C(N=NC2=CC=CC=C2)C=C1)C1=CC=CC=N1,0.4769999980926513,
,OC1=CC=C(N(=O)=O)C=C1C=O,1.0,
,OC(=O)C1=CC=CC(C(O)=O)=N1,0.6669999957084656,
,CC1=NC=CN1C,0.375,
,CN1C(=O)C2=C(N=CN2)N(C)C1=O,1.0,
,CCCN=CC1=CC=CC=C1O,0.0,
,C1=CC2=C(C3=CC=CC=N3)N=NN2C=C1,0.7139999866485596,
,OC1=CC=C(Cl)C=C1C=O,1.0,
,O=C(NC1=CC=CC=C1NC(=O)C1=CC=CC=N1)C1=CC=CC=N1,0.4289999902248382,
,COC(=O)C1=C(C2=CC=CC=N2)NC(C2=CC=CC=N2)=C1C,0.5,
,O=C(NC1=CC=NC=C1)C1=CC=CC=C1,1.0,
,CC1=CC=CC(C(O)=O)=N1,1.0,
,[CH2]CCC#N,0.363999992609024,
,NCCCN,0.6669999957084656,
,CC1=CN=CC(C)=C1,0.6359999775886536,
,CC(C)(C)C1=CC(O)=C(O)C(C(C)(C)C)=C1,0.2349999994039535,
,CC1=CC(C)=NN1CN1N=C(C)C=C1C,0.6669999957084656,
,CC(C)(C)C1=CC=C(C(C)(C)C)C(O)=C1O,0.2290000021457672,
,CC1=CC=CC(NC2=CC=CC=C2C(O)=O)=C1C,1.0,
,CCOC(=O)C1=CC=NC=C1,0.6669999957084656,
,C1=NC=NN1,1.0,
,NC1=NC=CN=C1C(O)=O,0.777999997138977,
,CN(O)C(=S)C1=CC=CC=C1,0.5,
,BrC1=CN=CC(Br)=C1,0.3079999983310699,
,NCCN,0.4289999902248382,
,O=C1C2=CC=CC3=CC=CC(=C23)C(=O)N1C1=CC=CN=C1,1.0,
,OC1=CC=CC=C1C=NC1=CC=CN=C1,1.0,
,O=C(C1=CC=CC=C1)C1=CC=CC=N1,0.8569999933242798,
,CSC1=CC=CC=C1CNC1=CC=CC=C1SC,0.0,
,OC(=O)C1=CNC=N1,1.0,
,O=C(NC1=CC=CC=C1N=NC1=CC=CC=C1)C1=CN=CC=N1,0.3330000042915344,
,CP(C)CCP(C)C,0.4000000059604645,
,CCN(CC)C(=O)C1=CC=CN=C1,1.0,
,C1=CN=C2C(=C1)C=CC1=CC=CN=C12,0.8500000238418579,
,CC(C)(C)C1=CC=NN1,0.800000011920929,
,NC1=CC=CC2=CC=CN=C12,0.625,
,O=C(C1=CC=CN1)N1CCCC1,0.3330000042915344,
,CC(=O)C1=C(O)C=C(C)OC1=O,1.0,
,C1=NC=C(C2=NN=NN2)N=C1,1.0,
,CC1=CC(C(O)=O)=NN1,1.0,
,CCCCCCCCCCCCN=CC1=CC=CC=C1O,0.375,
,OC1=CC=C(Br)C=C1C=NCC1=CC=CC=C1,0.5,
,C=CN1C=CN=C1,0.9409999847412108,
,CCCCN,0.0,
,CC1=C(C)C=C2C(=C1)N=CN2C,0.375,
,OCC1=CC=CC=C1,0.4000000059604645,
,CCCN(C1=CC=CC=N1)C1=CC=CC=N1,0.5,
,NC(=O)CN1CCCC1=O,1.0,
,[O-]N=C(C(=NO)C1=CC=CC=C1)C1=CC=CC=C1,0.2619999945163727,
,[O-]N=C(SC1=CC=CC=C1)C(=NO)SC1=CC=CC=C1,0.4670000076293945,
,CC(=O)C(C=NC1=CC=CC=C1N=CC(C(C)=O)=C(C)O)=C(C)O,0.6000000238418579,
,C1=C(CP(C2CCCCC2)C2CCCCC2)NC(CP(C2CCCCC2)C2CCCCC2)=C1,0.0,
,OC(=O)C1=CC=C2C=CC=CC2=N1,1.0,
,OC1=CC=CC=C1C=O,0.6669999957084656,
,C1=CN(B(N2C=CC=N2)N2C=CC=N2)N=C1,0.6000000238418579,
,C1=CC=C(C2=NN=C(C3=CC=C4C=CC=CC4=C3)S2)N=C1,0.5709999799728394,
,C1=CN=CN1,0.800000011920929,
,O=P(O)(C1=CC=CC=C1)C1=CC=CC=C1,1.0,
,BrC1=CC=CC(CN(CC2=CC=CC=N2)CC2=CC=CC=N2)=N1,1.0,
,C1=CC=C(CNC2CCCCC2NCC2=CC=CC=N2)N=C1,0.6000000238418579,
,COC1=CC(C=O)=CC=C1O,1.0,
,CCOC1=CC=CC(C=NCCCNCCN=CC2=CC=CC(OCC)=C2O)=C1O,0.4000000059604645,
,C1=CN(CN2C=CC=N2)N=C1,1.0,
,OC(=O)C=CC(=O)O,1.0,
,OC1=CC=CC=C1C=NC1CCCCC1N=CC1=CC=CC=C1O,0.5,
,C1=CC=C(CCCC2=CC=NC=C2)C=C1,1.0,
,OC(=O)C1=CC(N(=O)=O)=CC(N(=O)=O)=C1,1.0,
,ON=CC=NO,0.1669999957084655,
,N#CC1=CC=NC=C1,0.6819999814033508,
,C1=CC2=CN=C(C3=CC=CC=N3)N2C=C1,0.800000011920929,
,C(=CC1=CC=NC=C1)C1=CC=NC=C1,1.0,
,CC(C)(C)N(O)C1=CC=NC=C1,1.0,
,NC1=CC=C(S(=O)(=O)NC2=NC=CC=N2)C=C1,0.9330000281333924,
,OCCN(CC1=CC=CC=N1)CC1=CC=CC=N1,0.800000011920929,
,CC(=CC1=CC=NC=N1)C1=CC=CN=C1,1.0,
,BrC1=CC=C(N=CC2=CC=CC=N2)C=C1,0.7139999866485596,
,CC(C)(C)C1=CC=C(C(C)(C)C)C(=O)C1=O,0.3330000042915344,
,C1=NC=CC(C2=NN=C(C3=CC=NC=C3)O2)=C1,1.0,
,CC(=NN=C(O)C1=CC=CC=C1)C1=CC=CC=N1,0.6669999957084656,
,C1=CC=C2N=C3C4=CC=CN=C4C4=NC=CC=C4C3=NC2=C1,0.6000000238418579,
,CC1=CC(N)=C(N)C=C1C,1.0,
,CC1=CC=CC(S)=N1,0.0,
,SC1=CC=C2C=CC=CC2=N1,0.0,
,CC1=NC(C(O)=O)=C(C(=O)O)N1,1.0,
,CN(C)C1=CC=NC=C1,0.8100000023841858,
,OC(=O)CC1=CC=C(C(=O)O)C=C1,1.0,
,OCCC1=CC=CC=N1,1.0,
,OCC1=CC=CC=N1,0.9549999833106996,
,CN1CCN(C)CCN(C)CC1,0.8569999933242798,
,OC1=CC=C(Cl)C=C1C1=NCCO1,0.5,
,C1=CC(C2=CC=CC=N2)=NN1,1.0,
,CC(C)=CCC1=C(O)C(=O)C2=CC=CC=C2C1=O,1.0,
,CN=CC1=C(O)C(OC)=CC=C1,0.5,
,C1=CC=C(N=C(C2=CC=CC=N2)C2=CC=CC=N2)C=C1,0.6669999957084656,
,C(=CC1=CC=NC=C1)C1=CC=CC=C1,0.6669999957084656,
,OC(=O)C1=CN=CC=N1,0.75,
,C1=CN=CC=N1,0.363999992609024,
,OC(=CC1=CC=CC=N1)C(F)(F)F,0.4000000059604645,
,OC(=O)C1=CC=C(Cl)C=C1,0.944000005722046,
,OS(=O)(=O)C(O)(C1=CC=CC=N1)C1=CC=CC=N1,1.0,
,CC1=CC=C(S(O)(=O)=O)C=C1,1.0,
,CC(=NC1=CC=CC=C1)C1=CC=CC(C(C)=NC2=CC=CC=C2)=N1,0.4000000059604645,
,O=C(C1=CC=CC=C1)C1=CC=NC=C1,1.0,
,CC(C)(C)N1CC2=NC(=CC=C2)CN(C(C)(C)C)CC2=NC(=CC=C2)C1,0.1430000066757202,
,CC(C)P(CC1=NC(CP(C(C)C)C(C)C)=CC=C1)C(C)C,0.0,
,ClC1=CC=NC(CNCCNCC2=CC(Cl)=CC=N2)=C1,0.6000000238418579,
,C[CH]C#N,0.1110000014305114,
,OC(=O)C1=CC=CC=C1Br,1.0,
,NC(S)=NN=CC1=CC=CC=C1O,0.3330000042915344,
,C(=NC1=CC=C(C2=CC=CC=C2)C=C1)C1=CC=CC=N1,0.6000000238418579,
,CC(=O)C1=CC=CC=C1O,0.2860000133514404,
,CCN=CC1=CN(C2=CC=CC=C2)N=N1,0.5,
,OC1=CC=C(Cl)C=C1C=NC1=CC=CC2=CC=CN=C12,0.0,
,CCCC1=NC(C(O)=O)=C(C(=O)O)N1,1.0,
,CCOC(=O)C(C=NC1=CC=CC=C1N=CC(C(=O)OCC)=C(C)O)=C(C)O,0.7139999866485596,
,CC(C)(C)C1C=C(O)C(=O)C(C(C)(C)C)=C1,0.4639999866485595,
,C1=CN=C(C2=NC=CC=N2)N=C1,0.777999997138977,
,O=CC1=CC=CN1,0.6669999957084656,
,O=C(NC1=CC=CC=C1)C1=CC=CC=N1,1.0,
,C1=CNC(C2=CC=CC=N2)=N1,1.0,
,OC1=CC=C(Br)C=C1C=NCC1=CC=C(Cl)C=C1,0.5,
,OC1=CC=CC=C1C(=O)C1=CC=CC=C1,0.8330000042915344,
,[CH2]CCCC#N,0.5,
,O=S(=O)([O-])C1=CC=CN=C1,1.0,
,C1N2CN3CN1CN(C2)C3,1.0,
,CC(C)(C)C1=CC(=NC2=CC=CC=C2)C(O)C(C(C)(C)C)=C1,0.1669999957084655,
,NCCN(CC1=CC=CC=N1)CC1=CC=CC=N1,0.6669999957084656,
,OC(=O)C1=CC=C(C=O)C=C1,1.0,
,C1=CC=C(C2=CC=CC=N2)N=C1,0.753000020980835,
,OC1=CC=CC=C1C=NCCN=CC1=CC=CC=C1O,0.4350000023841858,
,[O-]N=C(C(=N[O-])C1=CC=CC=C1)C1=CC=CC=C1,0.3330000042915344,
,N#CNC#N,0.8569999933242798,
,C(=CC1=CC=CC2=CC=CC=C12)C1=CC=NC=C1,0.0,
,OC1=CC(=O)C2=CC=CC=C2C1=O,1.0,
,CC1(C)N=C(C2=CC=CC=N2)N(O)C1(C)C,0.800000011920929,
,CC1=CC=C(N2C(C3=CC=CC=C3)=NN=C2C2=CC=CC=N2)C=C1,0.6669999957084656,
,OC(=O)C1=NC=CC=C1O,1.0,
